,rotation,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
13,-37.0,0.21902240812778473,0.002993103116750717,0.00017684706836007535,0.054545506834983826,24.4531192779541,,0.023144591599702835,0.9371011853218079,0.9136195182800293
14,-36.0,0.2138073742389679,0.002916670637205243,0.00016857597802300006,0.053879693150520325,24.66038703918457,,0.022323479875922203,0.9384986162185669,0.916864275932312
15,-35.0,0.20856699347496033,0.002839881693944335,0.00016044564836192876,0.053251415491104126,24.8740234375,,0.02148405835032463,0.9399056434631348,0.9200883507728577
16,-34.0,0.20329459011554718,0.0027627262752503157,0.00015244925452861935,0.05260664224624634,25.095582962036133,,0.02064855583012104,0.9413279294967651,0.9232986569404602
17,-33.0,0.19799883663654327,0.002685252344235778,0.00014459522208198905,0.05195287987589836,25.324491500854492,,0.019815808162093163,0.9427654147148132,0.9264917969703674
18,-32.0,0.19268213212490082,0.002607436850667,0.00013688420585822314,0.05128432437777519,25.56191635131836,,0.018987001851201057,0.9442192316055298,0.9296668171882629
19,-31.0,0.1873493492603302,0.0025292953941971064,0.00012932246318086982,0.05059268698096275,25.807050704956055,,0.0181619543582201,0.9456908106803894,0.9328209757804871
20,-30.0,0.18199816346168518,0.0024508426431566477,0.0001219176992890425,0.04987388104200363,26.06150245666504,,0.01734299398958683,0.9471816420555115,0.9359521269798279
21,-29.0,0.17663472890853882,0.0023721405304968357,0.00011467491276562214,0.049128949642181396,26.32699966430664,,0.01652221754193306,0.9486900568008423,0.9390653371810913
22,-28.0,0.1712481826543808,0.0022931189741939306,0.00010760066652437672,0.04837290570139885,26.60308837890625,,0.015711260959506035,0.9502170085906982,0.9421496391296387
23,-27.0,0.1658419668674469,0.0022138748317956924,0.00010069881682284176,0.047585804015398026,26.88982582092285,,0.014909354969859123,0.9517651200294495,0.945206344127655
24,-26.0,0.16042254865169525,0.0021343426778912544,9.397639951203018e-05,0.046781010925769806,27.1882381439209,,0.014113008044660091,0.9533318281173706,0.9482308626174927
25,-25.0,0.15498869121074677,0.0020545413717627525,8.743738726479933e-05,0.0459415465593338,27.499353408813477,,0.013326233252882957,0.9549205303192139,0.9512209892272949
26,-24.0,0.14953704178333282,0.0019744844175875187,8.108772453851998e-05,0.045061275362968445,27.82437515258789,,0.012547495774924755,0.9565337896347046,0.9541757106781006
27,-23.0,0.14406757056713104,0.0018941678572446108,7.493489101761952e-05,0.04415031895041466,28.164199829101562,,0.011778105981647968,0.9581708908081055,0.9570898413658142
28,-22.0,0.13858288526535034,0.0018136766739189625,6.89833250362426e-05,0.04320569336414337,28.521013259887695,,0.01102503389120102,0.9598341584205627,0.9599615335464478
29,-21.0,0.1330834925174713,0.0017330123810097575,6.324017886072397e-05,0.04223296791315079,28.895578384399414,,0.01028091087937355,0.9615240097045898,0.962785542011261
30,-20.0,0.12757335603237152,0.0016521182842552662,5.770914503955282e-05,0.04121479392051697,29.28839683532715,,0.009551779367029667,0.9632435441017151,0.9655567407608032
31,-19.0,0.12205300480127335,0.0015710103325545788,5.239617166807875e-05,0.04014351963996887,29.70306968688965,,0.008838006295263767,0.9649959802627563,0.9682724475860596
32,-18.0,0.11652525514364243,0.0014897105284035206,4.7305773478001356e-05,0.03901229426264763,30.141918182373047,,0.008141337893903255,0.966784656047821,0.9709289073944092
33,-17.0,0.11099182069301605,0.001408231328241527,4.244568481226452e-05,0.03783464431762695,30.606977462768555,,0.007462287787348032,0.9686097502708435,0.973519504070282
34,-16.0,0.10545661300420761,0.0013266041642054915,3.7821431760676205e-05,0.03661305084824562,31.10091781616211,,0.006801736541092396,0.9704735279083252,0.9760387539863586
35,-15.0,0.099920853972435,0.0012448810739442706,3.3438824175391346e-05,0.03534090891480446,31.62548828125,,0.006162334233522415,0.9723787903785706,0.9784793257713318
36,-14.0,0.09438774734735489,0.0011630032677203417,2.9301556423888542e-05,0.03400006890296936,32.18663787841797,,0.0055484832264482975,0.9743300676345825,0.980837881565094
37,-13.0,0.08885428309440613,0.0010809811064973474,2.541485991969239e-05,0.03258009999990463,32.790775299072266,,0.004958414938300848,0.9763310551643372,0.9831039905548096
